"Walker, J K - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walker, J L - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walker, John - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walker, John H - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walker, Joseph - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walker, R E - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walker, William - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wall, George - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wall, G W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wall, Henry - Age 27, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wall, H H - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wall, James - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wall, James B - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wall, W K - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wallace, A J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wallace, D Mac - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wallace, J H - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wallace, J J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walls, George W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walls, Hansel - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walls, James - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walls, John - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walls, Logan - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walthall, George M - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walthall, G M - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walton, C - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walton, Jasper - Age 22, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Walton, S A - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wamble, P - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ward, E J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ward, E W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ward, Henry - Age 18, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ward, Samuel - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Waren, S - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Warrington, D C - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Warrington, S M - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Washham, J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wasson, Lucies E - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Watkins, J W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Watkins, W J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Watson, R L - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Weatherall, A C - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Weaver, John W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Weaver, J W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Weaver, William - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Webb, David H - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Webb, Thomas D - Age 40, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Webster, John W - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Webster, Richard W - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Webster, R W - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Weir, V - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Welbourn, Gid - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wellons, C M - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wellons, Williams - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wells, G - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wells, L W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wendling, Jacob F - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wesson, Boliver - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wesson, J M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wesson, John L - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wesson, R B - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"West, J B - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"West, O F - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"West, O T - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"West, P W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"West, T J - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Westbrooks, T M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Westmoreland, C C - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wheeler, J W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wheeler, W H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Whilleford, James - Age 21, Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"White, A S - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"White, E E - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"White, Henry - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"White, John B - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"White, John - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"White, Matt J - Age 37, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"White, R H - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"White, W L - Age 18, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"White, W R - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Whitley, N M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Whitten, J F - Age [Blank], Year: 1861 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Whittey, W M - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wier, R C - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wiggens, H - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilbourn, J G - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilbourne, Samar - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilburn, Lamar - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilcox, W C - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilcox, William C - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilford, W L - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilkerson, John W - Age 28, Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilkerson, Raby - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilkerson, Robert - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willeford, W L - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, Elijah - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, E P - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, F M - Age 19, Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, G W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, Henry - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, J A - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, J C - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, John D - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, J J - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, John - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, J T - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, Marion - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, Robert - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, S - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, S C - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, V M - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, W A T - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, W A J - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williams, Z T - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williamson, S Z - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williford, James R - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willingham, Samuel - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willingham, W T - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willins, W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willis, B F - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willis, E B - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willis, J R - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willis, R W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willis, Ziba H - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Williss, Ziba Harrison - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willroy, S J - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Willroy, Thomas - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilson, F M - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilson, H M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilson, J - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilson, J P - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilson, Stephen G - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilson, W G - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wilson, W W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wimberly, A T - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wimberly, W W - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Winborn, J N - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Winbourn, D E - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Winbourn, J M - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Winburn, D E - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Winders, George - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Winters, B F - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Winters, L A - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Winters, W - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wisson, J M - Age [Blank], Year: [BLANK] - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Witter, W A - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wofford, William - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Womble, Phil - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Woodson, T J - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wooten, A - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wooten, Peter - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Word, C S - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Word, Samuel - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wray, E S - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wright, David - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wright, H T - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wright, J B - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wright, J N - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wright, J T - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wright, M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wright, W H - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wynn, James - Age 19, Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wynn, John W - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wynne, John - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Wynne, T K - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Yarbrough, J J - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Yates, T J - Age [Blank], Year: 1863 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Yoder, D - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Young, Alphius - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Young, D G - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Young, George J - Age [Blank], Year: 1862 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Young, J O - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Young, John W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Young, Richard - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Young, Tandy K - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Adair, William - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Adams, John - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ainsworth, Wesley L - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Albbritton, Richard - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Algood, William - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Allen, John B - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Allen, Stephen J - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Allen, William J - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Allred, Isaac N - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Anding, J H - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Anding, John R - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Anding, William G - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Andrews, G W - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Andrews, John W - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Armfield, John G - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Arnold, William - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ashley, Martin M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ashley, Thomas - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Ashley, William D - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Atkinson, William - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Avera, John S - Age [Blank], Year: 1865 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
"Bailey, H M - Age [Blank], Year: 1864 - Eighteenth Cavalry, N-Y AND Twenty-fourth Battalion, Cavalry, A-B"
